,Name,Score,Studios,Source,Ranked,Popularity,Completed
12445,Getsuyoubi no Tawawa Specials,6.59,Pine Jam,Other,5441,3419,17221
12448,Cinderella Girls Gekijou: 5 Shuunen Kinen Short Anime,5.94,Gathering,Game,8395,9281,733
12452,Sakura Quest,7.41,P.A. Works,Original,1878,1210,37985
12453,Death March kara Hajimaru Isekai Kyousoukyoku,6.54,"SILVER LINK., Connect",Light novel,5663,411,239264
12454,"Uchiage Hanabi, Shita kara Miru ka? Yoko kara Miru ka?",6.11,Shaft,Other,7777,1084,79346
12456,Kenka Banchou Otome: Girl Beats Boys,6.45,"Project No.9, A-Real",Visual novel,6183,2051,35450
12457,Inazma Delivery,6.33,Kanaban Graphics,Original,6735,11141,292
12459,Seitokai Yakuindomo Movie,7.87,GoHands,4-koma manga,706,2485,22714
12461,Hei Mao Jing Zhang,5.62,Shanghai Animation Film Studio,Original,9377,12953,185
12463,Days: Touin Gakuen-sen!,7.49,MAPPA,Manga,1607,3752,6024
12464,Pokemon Generations,7.46,OLM,Game,1706,2633,31647
12465,Mobile Suit Gakuen: G-Reco Koushien,5.4,Studio PuYUKAI,Original,9945,11425,221
12466,"Wake Up, Girls! Shin Shou",6.5,Millepensee,Original,5912,4763,3724
12467,Centaur no Nayami,6.48,Haoliners Animation League,Manga,5981,1806,35593
12473,Terra Formars: Earth-hen,6.42,LIDENFILMS,Manga,6300,5278,1561
12474,Nanbaka: Shusseki Bangou no Tsuita Baka-tachi!,6.88,Satelight,Web manga,4125,3384,14261
12475,Natsume Yuujinchou Go Specials,8.33,Shuka,Manga,204,2855,20839
12477,Yoru wa Mijikashi Arukeyo Otome,8.23,Science SARU,Novel,287,1656,38926
12478,"Soushin Shoujo Matoi: Yuma-chin, Matomemashita - Nanimo Kitenakute... Natsu",5.81,White Fox,Original,8817,8493,1278
12479,Saint Seiya: Saintia Shou,5.61,Gonzo,Manga,9400,4727,3930
12480,Pokemon Movie 20: Kimi ni Kimeta!,7.08,OLM,Game,3301,2727,29941
12481,Mary to Majo no Hana,7.28,Studio Ponoc,Book,2454,1848,46378
12482,Inuyashiki,7.7,MAPPA,Manga,1029,318,249599
12483,Dive!!,6.08,Zero-G,Novel,7893,2527,15954
12484,Koutetsujou no Kabaneri Movie 3: Unato Kessen,7.72,Wit Studio,Original,985,1695,46966
12485,Shoukoku no Altair,7.55,MAPPA,Manga,1411,2048,19115
12487,Ryuu no Haisha,7.42,Khara,Original,1821,2740,17162
12488,Warau Salesman New,6.27,Shin-Ei Animation,Manga,7046,4092,5880
12489,Dream Festival! R,6.92,Bandai Namco Pictures,Original,3920,7041,2002
12490,Re:Creators,7.57,TROYCA,Original,1357,365,158394
12491,Jikan no Shihaisha,6.33,Project No.9,Manga,6738,2010,20799
12492,Boruto: Naruto Next Generations,5.81,Studio Pierrot,Manga,8812,223,26
12493,Black Clover,7.38,Studio Pierrot,Manga,1968,97,103
